延迟(ms),丢包率,切换时间(秒),成功,原DC,新DC
200,0.01,0.30,0,0,0
200,0.01,0.30,1,1,1
200,0.01,0.30,1,0,1
200,0.01,0.30,1,0,1
200,0.01,0.50,1,0,1
200,0.01,0.40,1,0,1
200,0.01,0.40,1,1,1
200,0.01,0.30,1,0,1
200,0.01,0.30,1,0,1
200,0.01,0.40,0,0,0
200,0.01,0.30,1,0,1
200,0.01,0.30,1,1,1
200,0.01,0.30,1,1,1
200,0.01,0.30,1,1,1
200,0.01,0.30,1,0,1
200,0.01,0.50,1,0,1
200,0.01,0.40,0,0,0
200,0.01,0.50,0,0,0
200,0.01,0.42,1,1,1
200,0.01,0.30,1,1,1
200,0.01,0.30,1,0,1
200,0.01,0.30,0,0,0
200,0.05,0.30,0,1,0
200,0.05,0.30,0,0,0
200,0.05,0.30,0,0,0
200,0.05,0.30,0,1,0
200,0.05,0.40,0,1,0
200,0.05,0.40,0,0,0
200,0.05,0.40,1,0,1
200,0.05,0.30,1,1,1
200,0.05,0.40,0,0,0
200,0.05,0.70,0,1,0
200,0.05,0.40,1,1,1
200,0.05,0.30,0,1,0
200,0.05,0.50,0,0,0
200,0.05,0.50,1,0,1
200,0.05,0.50,0,0,0
200,0.05,0.30,0,1,0
200,0.05,0.40,0,1,0
200,0.05,0.40,0,1,0
200,0.05,0.30,0,0,0
200,0.05,0.50,0,1,0
200,0.05,0.30,0,1,0
200,0.05,0.20,1,0,1
200,0.05,0.30,1,0,1
200,0.05,0.40,1,0,1
200,0.05,0.50,0,0,0
200,0.05,0.30,0,1,0
200,0.05,0.40,0,1,0
200,0.05,0.50,1,0,1
200,0.05,0.50,0,1,0
200,0.05,0.70,0,0,0
200,0.05,0.30,0,1,0
200,0.05,0.30,0,0,0
200,0.05,0.40,0,0,0
200,0.05,0.30,0,0,0
200,0.05,0.30,0,0,0
200,0.05,0.30,1,0,1
200,0.05,0.50,0,0,0
200,0.05,0.30,1,1,1
200,0.05,0.30,1,1,1
200,0.05,0.40,0,1,0
200,0.05,0.50,0,0,0
200,0.05,0.30,0,0,0
200,0.05,0.30,1,0,1
200,0.05,0.40,1,0,1
200,0.05,0.30,1,1,1
200,0.05,0.30,0,0,0
200,0.05,0.40,1,1,1
200,0.05,0.30,1,1,1
200,0.05,0.40,0,1,0
200,0.05,0.30,1,1,1
200,0.05,0.40,1,1,1
200,0.05,0.30,0,1,0
200,0.05,0.30,0,1,0
200,0.05,0.30,1,0,1
200,0.05,0.40,0,1,0
200,0.05,0.40,1,1,1
200,0.05,0.30,0,1,0
200,0.05,0.40,0,0,0
200,0.05,0.30,0,1,0
200,0.05,0.30,1,0,1
200,0.05,0.30,1,0,1
200,0.05,0.30,1,1,1
200,0.05,0.30,0,1,0
